system,cost,bertscore_f1
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.0,0.6685480426569455
RAG-Router,0.006557377049180328,0.6692699678608629
RAG-Router,0.006557377049180328,0.6692699678608629
RAG-Router,0.006557377049180328,0.6692699678608629
RAG-Router,0.006557377049180328,0.6692699678608629
RAG-Router,0.01639344262295082,0.6701641491202057
RAG-Router,0.019672131147540985,0.670520767032123
RAG-Router,0.022950819672131147,0.6709886410197273
RAG-Router,0.029508196721311476,0.6718091112668397
RAG-Router,0.07213114754098361,0.6770309930942098
RAG-Router,0.12131147540983607,0.6824980030294324
RAG-Router,0.19672131147540983,0.6904759856521107
RAG-Router,0.35081967213114756,0.7080247685557506
RAG-Router,0.521311475409836,0.7285966552671839
RAG-Router,0.8065573770491803,0.7640925211984603
RAG-Router,0.9836065573770492,0.7868033487288678
RAG-Router,1.0,0.7884330395792352
RAG-Router,1.0,0.7884330395792352
RAG-Router,1.0,0.7884330395792352
RAG-Router,1.0,0.7884330395792352
